ticker,PHO US Equity,CHIM US Equity,KCE US Equity,ICLN US Equity,SPGP US Equity,FIW US Equity,IHF US Equity,PBD US Equity,IAI US Equity,SMH US Equity,XMHQ US Equity,XSD US Equity,QCLN US Equity,PICK US Equity,EWY US Equity,ARKG US Equity,PSI US Equity,MXI US Equity,KORU US Equity,LIT US Equity,ARKK US Equity,UGE US Equity,FAN US Equity,COPX US Equity,ARKQ US Equity,GRID US Equity,RTM US Equity,PBW US Equity,FXZ US Equity,YLCO US Equity
2019-03-18,33.97,16.78,54.5624,9.93,52.86,51.427,174.33,12.225,61.38,105.93,49.33,79.0993,20.7,31.11,62.19,32.84,53.09,64.2997,28.0,28.62,46.85,41.6177,13.26,21.59,33.97,44.48,105.39,27.77,38.16,12.9243
2019-03-19,33.9,16.7,54.29,9.88,52.98,51.3,175.8,12.2156,60.97,107.15,49.2764,80.13,20.618000000000002,31.22,62.05,32.86,53.5873,64.35,27.79,28.58,46.98,41.4544,13.16,21.79,34.26,44.87,105.1499,27.95,37.99,12.845
2019-03-20,33.8,16.67,53.4158,9.95,53.08,51.2195,172.2,12.26,59.3299,106.23,49.1,79.32,20.59,31.2,62.33,33.04,53.0926,64.52,28.19,28.29,47.1,40.9133,13.25,21.83,34.25,45.0903,104.7589,28.02,37.75,12.8593
2019-03-21,34.21,16.985,53.63,9.83,53.75,51.63,174.45,12.235,59.17,109.89,49.75,81.69,20.71,31.32,62.88,33.69,54.6103,64.84,28.87,28.77,48.07,42.0855,13.1401,22.08,34.83,45.0074,106.1003,27.64,38.21,12.89
2019-03-22,33.38,16.755,52.0121,9.64,52.63,50.19,170.58,11.945,57.67,106.75,48.9344,78.73,20.079,30.51,61.22,31.9901,52.89,63.13,26.66,27.98,46.05,41.285,12.9,21.33,33.6251,43.62,102.8274,26.6,36.83,12.715
2019-03-25,33.48,16.665,51.94300000000001,9.62,52.57,50.28,169.29,11.88,57.72,105.4,48.8247,78.01,19.95,30.55,61.25,32.07,52.46,63.2809,26.65,27.78,45.95,41.4452,12.89,21.28,33.47,43.4184,102.73299999999999,26.4,36.88,12.779000000000002
2019-03-26,33.75,16.6,52.7388,9.69,53.05,50.6383,166.23,11.8613,58.3,106.38,49.201,78.8,19.895,30.78,61.03,32.25,53.0,63.62,26.36,27.89,46.15,42.1371,12.92,21.54,33.81,43.48,103.5259,26.33,37.22,12.84
2019-03-27,33.57,16.515,52.6264,9.6,52.76,50.3961,164.97,11.9051,58.04,104.83,49.075,77.6,19.88,30.77,60.36,31.78,52.25,63.43,25.52,27.72,45.65,41.9812,13.02,21.4,33.47,43.5756,103.9033,26.31,37.23,12.75
2019-03-28,33.75,16.69,53.0436,9.72,52.87,50.67,165.6774,11.9,58.48,104.63,49.3873,77.8,19.8801,30.85,60.68,32.29,52.34,63.67,25.91,28.0,46.14,42.6292,13.02,21.45,33.73,43.3797,104.8347,26.6,37.61,12.9216
2019-03-29,33.98,16.8266,53.2007,9.76,53.37,51.09,167.89,11.9748,58.78,106.33,49.7149,78.51,20.09,31.07,60.95,32.88,53.03,64.16,26.23,28.3,46.73,42.9733,13.04,21.86,34.04,43.59,105.4628,26.79,37.99,12.9208
2019-04-01,34.31,17.4349,54.5827,9.85,54.016999999999996,51.59,168.48,12.115,60.17,108.95,50.2674,80.5,20.49,32.04,62.15,33.0,54.25,65.39,27.75,28.89,47.43,43.3795,13.095,22.43,34.83,44.22,107.35,27.17,38.772,12.9706
2019-04-02,34.14,17.58,54.67,9.89,54.36,51.39,167.37,12.1879,60.42,109.04,50.2019,80.65,20.52,32.16,62.0,33.47,54.32,65.57,27.54,28.9,47.81,43.0585,13.14,22.5,34.9938,44.3389,107.3448,27.26,38.71,12.945
2019-04-03,34.21,17.8794,54.8302,9.9,54.44,51.51,168.17,12.31,60.74,111.58,49.79,82.74,20.85,32.45,63.16,34.21,55.55,66.34,29.03,29.13,48.78,42.7589,13.245,22.63,35.58,45.1047,108.1814,27.63,39.14,13.07
2019-04-04,34.27,18.1,55.2186,9.98,54.3047,51.7,169.61,12.315,61.15,111.7,50.3456,82.89,20.89,32.42,63.28,33.91,55.59,66.56,29.21,29.18,48.13,43.1722,13.23,22.78,35.19,45.1699,109.0903,27.82,39.48,13.0195
2019-04-05,34.47,18.265,55.4842,10.1,54.7,52.07,171.74,12.4,61.28,112.54,50.8021,83.43,21.15,32.54,63.43,34.54,55.93,66.8,29.49,29.34,48.91,43.3134,13.26,22.88,35.69,45.51,109.26,28.21,39.659,13.09
2019-04-08,34.47,18.3448,55.44,10.09,54.66,52.04,171.0,12.43,61.33,112.77,50.9016,83.68,21.1999,32.95,63.03,34.39,55.96,67.0,28.92,29.46,48.81,43.6411,13.26,23.12,35.64,45.51,109.25,28.32,39.67,13.08
2019-04-09,33.88,18.2392,54.7945,10.02,54.37,51.03,171.03,12.355,60.78,111.54,50.505,82.79,20.95,32.64,63.02,33.83,55.33,66.59,28.9,29.17,48.3,43.2683,13.216,22.93,35.21,45.251999999999995,108.0641,27.91,38.9961,13.0177
2019-04-10,34.06,18.3481,55.3509,10.14,54.71,51.32,170.7,12.47,61.06,112.44,50.6963,84.25,21.2083,32.74,63.49,34.56,55.94,66.88,29.52,29.42,48.98,43.7215,13.2551,22.99,35.55,45.305,108.3044,28.1337,39.14,13.03
2019-04-11,34.23,17.86,55.5381,10.04,54.69,51.62,166.08,12.345,61.12,112.33,50.835,83.98,21.01,32.26,63.07,33.96,55.86,66.5,28.94,29.1,48.35,43.9039,13.16,22.65,35.25,45.0811,108.2466,27.9577,39.17,13.045
2019-04-12,34.37,17.85,56.35,10.02,54.79,51.82,161.03,12.3915,62.33,113.91,51.1887,85.18,21.1125,32.6154,63.95,34.08,56.59,67.22,30.01,29.15,48.46,44.2467,13.16,23.07,35.4,45.614,109.6098,28.17,39.61,13.0346
2019-04-15,34.3,17.66,56.1529,10.09,54.76,51.75,163.8146,12.42,61.79,113.09,51.155,84.84,21.1899,32.45,63.89,33.68,56.28,67.085,29.97,28.97,47.95,44.4743,13.24,23.03,35.12,45.535,109.1323,27.99,39.54,13.106
2019-04-16,34.3,17.915,57.0138,10.08,54.79,51.85,156.31,12.4595,62.52,115.85,50.61,86.92,21.29,32.51,64.16,33.73,57.88,67.08,30.27,29.16,48.28,44.5094,13.22,23.12,35.47,45.8383,109.351,28.29,39.5358,13.069
2019-04-17,33.95,17.87,56.887,10.13,54.38,51.45,151.11,12.54,63.29,117.56,50.3297,87.09,21.3,32.43,64.3,31.98,58.28,66.95,30.61,29.4,47.05,44.83,13.2145,23.49,35.28,46.24,108.4853,28.47,39.33,12.9906
2019-04-18,34.31,17.9688,56.89,10.1,54.43,51.8,154.0,12.485,63.12,117.73,50.3847,86.96,21.33,32.31,63.29,32.12,58.16,66.86,29.13,29.06,47.09,44.945,13.2,23.28,35.32,46.41,108.72,28.49,39.3,12.981
2019-04-22,34.27,17.64,56.69,10.1,54.51,51.76,154.87,12.4799,62.76,117.64,50.455,86.82,21.185,32.15,62.98,32.54,58.04,66.76,28.67,28.85,47.25,44.7463,13.21,23.05,35.13,46.3499,108.2202,28.49,39.0746,12.9301
2019-04-23,34.05,17.3145,57.2605,10.19,55.17,51.83,159.35,12.515,63.0,118.59,50.9149,87.71,21.3145,32.08,63.22,33.18,58.6128,66.71,29.01,28.59,48.43,44.8922,13.22,22.77,35.54,46.3633,108.8997,28.71,39.46,12.98
2019-04-24,34.15,17.1883,57.26,10.14,54.91,52.13,160.41,12.455,62.65,119.6,50.8951,89.11,21.3079,31.38,61.59,32.78,59.4,65.7346,26.75,28.03,48.01,44.8737,13.18,22.39,35.53,46.35,108.2514,28.7072,39.0797,12.92
2019-04-25,34.07,16.8,57.2085,10.1,55.03,51.72,161.4,12.385,63.06,117.24,50.4515,86.85,20.99,31.15,61.26,32.97,58.07,65.33,26.27,27.72,47.58,43.9218,13.135,21.99,34.73,45.9546,106.8031,28.38,38.4695,12.9593
2019-04-26,34.44,16.89,57.31,10.12,55.16,52.24,164.99,12.4,63.27,115.81,50.6849,86.47,21.0289,31.15,61.13,33.43,57.85,65.62,26.13,27.8,47.69,44.9044,13.1577,22.0,34.51,46.1084,107.6,28.5775,38.75,13.02
